venue,year,identifier,heading,title,authors,page_range,length,electronic_edition,comment
icml,2024,conf/icml/icml2024,,Chain of Code: Reasoning with a Language Model-Augmented Code Emulator.,Chengshu Li; Jacky Liang; Andy Zeng; Xinyun Chen; Karol Hausman; Dorsa Sadigh; Sergey Levine; Li Fei-Fei; Fei Xia; Brian Ichter,,0,https://openreview.net/forum?id=vKtomqlSxm,
icml,2024,conf/icml/icml2024,,Challenges in Training PINNs: A Loss Landscape Perspective.,Pratik Rathore; Weimu Lei; Zachary Frangella; Lu Lu; Madeleine Udell,,0,https://openreview.net/forum?id=mJGiFr8jLa,
icml,2024,conf/icml/icml2024,,AI Control: Improving Safety Despite Intentional Subversion.,Ryan Greenblatt; Buck Shlegeris; Kshitij Sachan; Fabien Roger,,0,https://openreview.net/forum?id=KviM5k8pcP,
icml,2024,conf/icml/icml2024,,APT: Adaptive Pruning and Tuning Pretrained Language Models for Efficient Training and Inference.,Bowen Zhao; Hannaneh Hajishirzi; Qingqing Cao,,0,https://openreview.net/forum?id=sb81Xl50JG,
icml,2024,conf/icml/icml2024,,Offline Actor-Critic Reinforcement Learning Scales to Large Models.,Jost Tobias Springenberg; Abbas Abdolmaleki; Jingwei Zhang; Oliver Groth; Michael Bloesch; Thomas Lampe; Philemon Brakel; Sarah Bechtle; Steven Kapturowski; Roland Hafner; Nicolas Heess; Martin A. Riedmiller,,0,https://openreview.net/forum?id=tl2qmO5kpD,
icml,2024,conf/icml/icml2024,,Fast Timing-Conditioned Latent Audio Diffusion.,Zach Evans; CJ Carr; Josiah Taylor; Scott H. Hawley; Jordi Pons,,0,https://openreview.net/forum?id=jOlO8t1xdx,
icml,2024,conf/icml/icml2024,,MagicLens: Self-Supervised Image Retrieval with Open-Ended Instructions.,Kai Zhang; Yi Luan; Hexiang Hu; Kenton Lee; Siyuan Qiao; Wenhu Chen; Yu Su; Ming-Wei Chang,,0,https://openreview.net/forum?id=Zc22RDtsvP,
icml,2024,conf/icml/icml2024,,Making Old Things New: A Unified Algorithm for Differentially Private Clustering.,Max Dupré la Tour; Monika Henzinger; David Saulpic,,0,https://openreview.net/forum?id=3ajK5xplDL,
icml,2024,conf/icml/icml2024,,Interpreting and Improving Large Language Models in Arithmetic Calculation.,Wei Zhang; Chaoqun Wan; Yonggang Zhang; Yiu-ming Cheung; Xinmei Tian; Xu Shen; Jieping Ye,,0,https://openreview.net/forum?id=CfOtiepP8s,
icml,2024,conf/icml/icml2024,,SparseTSF: Modeling Long-term Time Series Forecasting with *1k* Parameters.,Shengsheng Lin; Weiwei Lin; Wentai Wu; Haojun Chen; Junjie Yang,,0,https://openreview.net/forum?id=54NSHO0lFe,
icml,2024,conf/icml/icml2024,,On the Last-Iterate Convergence of Shuffling Gradient Methods.,Zijian Liu; Zhengyuan Zhou,,0,https://openreview.net/forum?id=Xdy9bjwHDu,
icml,2024,conf/icml/icml2024,,AlphaFold Meets Flow Matching for Generating Protein Ensembles.,Bowen Jing; Bonnie Berger; Tommi S. Jaakkola,,0,https://openreview.net/forum?id=rs8Sh2UASt,
icml,2024,conf/icml/icml2024,,Low-Cost High-Power Membership Inference Attacks.,Sajjad Zarifzadeh; Philippe Liu; Reza Shokri,,0,https://openreview.net/forum?id=sT7UJh5CTc,
icml,2024,conf/icml/icml2024,,"A Touch, Vision, and Language Dataset for Multimodal Alignment.",Letian Fu; Gaurav Datta; Huang Huang; William Chung-Ho Panitch; Jaimyn Drake; Joseph Ortiz; Mustafa Mukadam; Mike Lambeta; Roberto Calandra; Ken Goldberg,,0,https://openreview.net/forum?id=tFEOOH9eH0,
icml,2024,conf/icml/icml2024,,"Position: Measure Dataset Diversity, Don't Just Claim It.",Dora Zhao; Jerone T. A. Andrews; Orestis Papakyriakopoulos; Alice Xiang,,0,https://openreview.net/forum?id=jsKr6RVDDs,
icml,2024,conf/icml/icml2024,,Contrasting Multiple Representations with the Multi-Marginal Matching Gap.,Zoe Piran; Michal Klein; James Thornton; Marco Cuturi,,0,https://openreview.net/forum?id=dV9B9qFeGi,
icml,2024,conf/icml/icml2024,,Candidate Pseudolabel Learning: Enhancing Vision-Language Models by Prompt Tuning with Unlabeled Data.,Jiahan Zhang; Qi Wei; Feng Liu; Lei Feng,,0,https://openreview.net/forum?id=sBJNokmYuV,
icml,2024,conf/icml/icml2024,,"The Stronger the Diffusion Model, the Easier the Backdoor: Data Poisoning to Induce Copyright BreachesWithout Adjusting Finetuning Pipeline.",Haonan Wang; Qianli Shen; Yao Tong; Yang Zhang; Kenji Kawaguchi,,0,https://openreview.net/forum?id=ZvFLbEPv6x,
icml,2024,conf/icml/icml2024,,Stealing part of a production language model.,Nicholas Carlini; Daniel Paleka; Krishnamurthy Dj Dvijotham; Thomas Steinke; Jonathan Hayase; A. Feder Cooper; Katherine Lee; Matthew Jagielski; Milad Nasr; Arthur Conmy; Eric Wallace; David Rolnick; Florian Tramèr,,0,https://openreview.net/forum?id=VE3yWXt3KB,
icml,2024,conf/icml/icml2024,,Pausing Policy Learning in Non-stationary Reinforcement Learning.,Hyunin Lee; Ming Jin; Javad Lavaei; Somayeh Sojoudi,,0,https://openreview.net/forum?id=qY622O6Ehg,
